,date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
189,2019-07-09,47100,48200.97003,46100,49000.0,29379196.09324897,618.88455396,17168,47471.2059055
190,2019-07-10,48389.93994,45789.99993,44102,49800.0,46078968.04821956,978.24473658,23162,47103.7219268
191,2019-07-11,45552.06004,43430,42600,45899.09,33013371.63277989,743.02063424,14956,44431.29855545
192,2019-07-12,43430,44521.00003,42900,45499.0,15285495.70021635,343.90253634,9861,44447.17350122
193,2019-07-13,44679.98993,43799.94953,42000,44710.63,11820373.78243763,272.62313316,6412,43357.92654653
194,2019-07-14,43605.00004,39589.77943,39001,43898.90574,19064269.08506852,462.89755784,8801,41184.6395864
195,2019-07-15,39589.75941,41401,39001,42500.0,21888068.39406308,534.06648103,12294,40983.78979307
196,2019-07-16,41401,35451.13003999,35000,41849.86997,40360494.03631718,1055.33222986,20275,38244.34893045
197,2019-07-17,35452.00003,36610.00006,34300,38500.0,26671919.40893472,723.99169936,15067,36840.09006251
198,2019-07-18,36701.39,38450,34500,40000.0,46706646.29385951,1237.04990821,23054,37756.47690808
199,2019-07-19,38500,38799.98,38000,39495.0,21630088.16575444,558.6724934,13350,38716.9377789
200,2019-07-20,38799.98,39699.96992,38515.55014,40500.0,14242523.97268559,358.59726601,8177,39717.32448258
201,2019-07-21,39560,39241.99996999,39000,39850.0,4842738.22210607,122.963438,3687,39383.56230822
202,2019-07-22,39245.00001,38600,38200,39797.87,15132208.50244579,389.73663592,10664,38826.75403795
203,2019-07-23,38798.99998999,37430.96998,37000,38800.0,18795868.71374755,496.26233582,11960,37874.86447604
204,2019-07-24,37429.92993,38149.96992,36523,38400.0,16169688.77795225,433.63852169,10592,37288.40490216
205,2019-07-25,38149.95992999,37497.99991,37300,38459.99,12117012.63806351,319.44166251,9409,37931.84815923
206,2019-07-26,37365.00003,37785.01999999,37332,38200.0,10315473.23432637,274.04133736,7928,37642.03362055
207,2019-07-27,37899.98993,36748.97985,36258,38045.99,9070967.81715525,246.28238572,5854,36831.57360457
208,2019-07-28,36528.98984,36206.00001,36051.12999999,36975.0,3709038.3317886,101.6420885,2746,36491.16607623
209,2019-07-29,36496.93914,36220.98,36080,36699.98992,9737521.39355373,267.13297998,7436,36451.96259287
210,2019-07-30,36220.97999,36999.99993,36050,38400.0,12489265.62170201,338.38463679,9711,36908.48893193
211,2019-07-31,36820.00003,37803.6,36811.01,38200.0,15572744.33211783,412.55461222,11030,37747.11000882
212,2019-08-01,37805,39375.00004,37800,39999.9999,20572531.46738025,528.92111506,14502,38895.27357032
213,2019-08-02,39597.69991,41111,39375.00004,41759.0,32033241.73401688,788.64309073,19716,40618.17330367
214,2019-08-03,41200,41400,41000,41959.99,10873597.8129165,262.19991644,6457,41470.63797941
215,2019-08-04,41400,42999,41045,42999.0,12320210.00601252,294.14308104,7591,41885.09198323
216,2019-08-05,42999,44870,42000,46300.0,71571338.6708794,1588.93939305,31540,45043.46671995
217,2019-08-06,44900,45300,44139.00001,46452.99,43105539.21718456,946.75819365,20338,45529.61834003
218,2019-08-07,45300,46500.97006,45075.22,47825.0,35619295.09725865,765.68280383,18804,46519.64876197
219,2019-08-08,46501.00004,46295.8596,45798,46900.0,17668396.27140314,381.64766875,12144,46295.04571394
220,2019-08-09,46295.79994,46280.0001,46150,46700.0,11466825.84049845,246.86477536,9329,46449.82591694
221,2019-08-10,46280.0001,45599.92958,45000,46600.0,8972772.57220894,196.67352387,6041,45622.67658426
222,2019-08-11,45470.5,45489.81756,45000,45800.0,3553064.98651459,78.13471801,3053,45473.57534534
223,2019-08-12,45489.79725,45639.94,45009.33,46500.0,11523325.37484181,252.52715099,9203,45632.02542643
224,2019-08-13,45549,43140,42000,45748.5671,26683460.8051064,606.24883539,14986,44014.0405177
225,2019-08-14,43139.99,41100,41000.01999999,43849.0,19821464.52151691,469.21574557,12012,42243.81792098
226,2019-08-15,41100,42199.89999,40000,43500.0,22759552.81920114,548.55415335,12580,41490.07473593
227,2019-08-16,41980.00004,42102.96999,40550,42490.0,14984425.36589174,359.51795421,9429,41679.21293059
228,2019-08-17,42102.98,41485,41111.11,42200.0,3245991.50893917,77.83813739,3047,41701.81375562
229,2019-08-18,41381,41760.46,41251.43998,42100.0,2793954.34978613,66.81569128,2544,41815.84140284
230,2019-08-19,41998.99992,43994.98941,41630,44830.0,24128637.90434523,553.11857947,14429,43622.90257446
